Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,1.308627,1.319609,1.308627,1.308900,1.308900,0
2020-02-03,1.318079,1.318339,1.300136,1.318166,1.318166,0
2020-02-04,1.299731,1.304257,1.294398,1.299748,1.299748,0
2020-02-05,1.303135,1.307002,1.295857,1.303271,1.303271,0
2020-02-06,1.299714,1.300052,1.292407,1.299714,1.299714,0
2020-02-07,1.293009,1.295505,1.290006,1.293025,1.293025,0
2020-02-10,1.288892,1.294834,1.287416,1.289158,1.289158,0
2020-02-11,1.291656,1.296849,1.289607,1.291823,1.291823,0
2020-02-12,1.295656,1.299207,1.295337,1.295656,1.295656,0
2020-02-13,1.295857,1.306865,1.294532,1.295756,1.295756,0
2020-02-14,1.304478,1.306336,1.300390,1.304682,1.304682,0
2020-02-17,1.305091,1.305313,1.300441,1.305296,1.305296,0
2020-02-18,1.300542,1.304904,1.297252,1.300898,1.300898,0
2020-02-19,1.299984,1.302168,1.292808,1.300221,1.300221,0
2020-02-20,1.292825,1.293042,1.285149,1.292825,1.292825,0
2020-02-21,1.288145,1.297690,1.287963,1.288328,1.288328,0
2020-02-24,1.295203,1.295500,1.288892,1.295370,1.295370,0
2020-02-25,1.292524,1.301795,1.291656,1.292658,1.292658,0
2020-02-26,1.300238,1.301067,1.291322,1.300339,1.300339,0
2020-02-27,1.290722,1.294532,1.286256,1.290689,1.290689,0
2020-02-28,1.288926,1.291890,1.275445,1.288892,1.288892,0
2020-03-02,1.280557,1.285182,1.274194,1.280705,1.280705,0
2020-03-03,1.276634,1.283746,1.275982,1.276715,1.276715,0
2020-03-04,1.282117,1.284604,1.277156,1.282084,1.282084,0
2020-03-05,1.287217,1.294582,1.286174,1.287498,1.287498,0
2020-03-06,1.295000,1.304972,1.295000,1.295068,1.295068,0
2020-03-09,1.309655,1.319975,1.303645,1.309929,1.309929,0
2020-03-10,1.307531,1.308832,1.293444,1.307531,1.307531,0
2020-03-11,1.290689,1.297741,1.285545,1.290972,1.290972,0
2020-03-12,1.281756,1.285182,1.254296,1.281821,1.281821,0
2020-03-13,1.257277,1.262499,1.240064,1.257024,1.257024,0
2020-03-16,1.240033,1.240033,1.222285,1.239987,1.239987,0
2020-03-17,1.226934,1.227054,1.200927,1.226663,1.226663,0
2020-03-18,1.211607,1.213033,1.174646,1.212165,1.212165,0
2020-03-19,1.161103,1.178856,1.147684,1.162534,1.162534,0
2020-03-20,1.149637,1.192435,1.148211,1.149439,1.149439,0
2020-03-23,1.160860,1.171166,1.148026,1.162304,1.162304,0
2020-03-24,1.159783,1.178967,1.158373,1.159555,1.159555,0
2020-03-25,1.179148,1.197318,1.164714,1.179204,1.179204,0
2020-03-26,1.184413,1.213916,1.182257,1.185115,1.185115,0
2020-03-27,1.219334,1.237991,1.215347,1.220063,1.220063,0
2020-03-30,1.244865,1.246727,1.231982,1.245321,1.245321,0
2020-03-31,1.236552,1.246945,1.226738,1.237164,1.237164,0
2020-04-01,1.241157,1.243843,1.233502,1.240849,1.240849,0
2020-04-02,1.238175,1.246556,1.235498,1.238237,1.238237,0
2020-04-03,1.239188,1.239403,1.220733,1.239495,1.239495,0
2020-04-06,1.221956,1.232742,1.221285,1.222016,1.222016,0
2020-04-07,1.223481,1.238237,1.222046,1.224050,1.224050,0
2020-04-08,1.233745,1.241804,1.228954,1.233867,1.233867,0
2020-04-09,1.239173,1.247521,1.236247,1.239311,1.239311,0
2020-04-10,1.245982,1.248814,1.244958,1.245485,1.245485,0
2020-04-13,1.245904,1.253337,1.245578,1.246106,1.246106,0
2020-04-14,1.252035,1.262084,1.251173,1.252395,1.252395,0
2020-04-15,1.262403,1.262786,1.244075,1.262626,1.262626,0
2020-04-16,1.252191,1.252662,1.241434,1.252097,1.252097,0
2020-04-17,1.248782,1.252317,1.240864,1.248782,1.248782,0
2020-04-20,1.248751,1.249157,1.241820,1.248751,1.248751,0
2020-04-21,1.244245,1.244400,1.226347,1.244276,1.244276,0
2020-04-22,1.230239,1.238313,1.227596,1.229861,1.229861,0
2020-04-23,1.232256,1.241573,1.230936,1.232392,1.232392,0
2020-04-24,1.235315,1.237425,1.229967,1.235224,1.235224,0
2020-04-27,1.236858,1.245377,1.236125,1.236660,1.236660,0
2020-04-28,1.242236,1.251846,1.240572,1.242267,1.242267,0
2020-04-29,1.243394,1.248626,1.239050,1.243565,1.243565,0
2020-04-30,1.246914,1.263775,1.242993,1.247147,1.247147,0
2020-05-01,1.258099,1.258099,1.250406,1.258147,1.258147,0
2020-05-04,1.245656,1.246883,1.240649,1.245423,1.245423,0
2020-05-05,1.244818,1.248034,1.242221,1.244555,1.244555,0
2020-05-06,1.244524,1.245020,1.233776,1.244420,1.244420,0
2020-05-07,1.232742,1.241465,1.226994,1.232559,1.232559,0
2020-05-08,1.237409,1.246354,1.235773,1.237593,1.237593,0
2020-05-11,1.241634,1.243781,1.228577,1.241742,1.241742,0
2020-05-12,1.233228,1.237624,1.228864,1.233350,1.233350,0
2020-05-13,1.225370,1.233745,1.222195,1.225490,1.225490,0
2020-05-14,1.223945,1.224140,1.216885,1.224155,1.224155,0
2020-05-15,1.223391,1.223810,1.211637,1.223391,1.223391,0
2020-05-18,1.208605,1.222434,1.208605,1.208576,1.208576,0
2020-05-19,1.219393,1.226753,1.218561,1.224380,1.224380,0
